iter	Passed	Remaining
641	9014	7834
642	9028	7820
643	9042	7806
644	9055	7792
645	9068	7777
646	9082	7763
647	9096	7748
648	9109	7734
649	9122	7719
650	9135	7704
651	9149	7689
652	9163	7675
653	9176	7661
654	9190	7646
655	9202	7631
656	9216	7617
657	9229	7602
658	9243	7588
659	9257	7574
660	9269	7558
661	9283	7544
662	9298	7531
663	9311	7516
664	9324	7501
665	9338	7487
666	9351	7472
667	9365	7458
668	9379	7444
669	9393	7430
670	9406	7415
671	9419	7401
672	9433	7387
673	9447	7373
674	9459	7357
675	9474	7343
676	9487	7329
677	9500	7314
678	9514	7300
679	9528	7286
680	9541	7271
681	9555	7257
682	9568	7242
683	9581	7228
684	9596	7214
685	9610	7200
686	9623	7186
687	9636	7171
688	9648	7156
689	9663	7142
690	9678	7129
691	9691	7114
692	9704	7099
693	9718	7085
694	9731	7071
695	9745	7056
696	9758	7042
697	9772	7028
698	9786	7014
699	9800	7000
700	9813	6985
701	9827	6971
702	9842	6958
703	9855	6943
704	9869	6929
705	9883	6915
706	9896	6901
707	9910	6887
708	9924	6873
709	9937	6858
710	9950	6843
711	9964	6829
712	9977	6814
713	9990	6800
714	10004	6786
715	10018	6772
716	10030	6757
717	10044	6743
718	10057	6728
719	10070	6713
720	10083	6699
721	10098	6685
722	10111	6671
723	10124	6656
724	10137	6641
725	10150	6627
726	10163	6612
727	10176	6598
728	10189	6583
729	10203	6569
730	10216	6554
731	10228	6539
732	10243	6526
733	10256	6511
734	10271	6498
735	10285	6484
736	10298	6469
737	10310	6454
738	10324	6440
739	10339	6427
740	10352	6412
741	10365	6398
742	10378	6383
743	10391	6369
744	10404	6354
745	10417	6339
746	10430	6325
747	10444	6311
748	10458	6297
749	10470	6282
750	10483	6267
751	10497	6253
752	10510	6239
753	10523	6224
754	10537	6210
755	10550	6196
756	10563	6181
757	10575	6166
758	10587	6151
759	10601	6137
760	10615	6123
761	10629	6109
762	10643	6095
763	10657	6082
764	10672	6068
765	10686	6054
766	10699	6040
767	10715	6027
768	10730	6013
769	10744	6000
770	10757	5985
771	10770	5971
772	10782	5956
773	10795	5941
774	10812	5929
775	10824	5914
776	10837	5899
777	10851	5885
778	10865	5871
779	10877	5857
780	10891	5843
781	10906	5829
782	10920	5815
783	10934	5802
784	10947	5787
785	10960	5773
786	10973	5758
787	10986	5744
788	11001	5730
789	11014	5716
790	11028	5702
791	11040	5687
792	11052	5672
793	11066	5658
794	11079	5644
795	11093	5630
796	11107	5616
797	11120	5602
798	11134	5588
799	11148	5574
800	11161	5559
801	11174	5545
802	11188	5531
803	11201	5517
804	11216	5503
805	11231	5490
806	11245	5476
807	11260	5462
808	11274	5449
809	11289	5435
810	11303	5421
811	11317	5407
812	11332	5394
813	11345	5380
814	11360	5366
815	11375	5353
816	11389	5339
817	11404	5325
818	11422	5313
819	11436	5300
820	11451	5286
821	11465	5272
822	11481	5259
823	11500	5247
824	11514	5233
825	11529	5220
826	11543	5206
827	11558	5192
828	11572	5178
829	11587	5165
830	11601	5151
831	11624	5141
832	11639	5128
833	11656	5115
834	11672	5102
835	11687	5088
836	11700	5074
837	11713	5060
838	11728	5046
839	11742	5032
840	11757	5018
841	11771	5004
842	11785	4991
843	11801	4977
844	11815	4963
